	SRR21492517_R1_filtered.fastq.gz	SRR21492518_R1_filtered.fastq.gz	SRR21492519_R1_filtered.fastq.gz	SRR21492520_R1_filtered.fastq.gz	SRR21492521_R1_filtered.fastq.gz	SRR21492522_R1_filtered.fastq.gz	SRR21492523_R1_filtered.fastq.gz	SRR21492524_R1_filtered.fastq.gz	SRR21492525_R1_filtered.fastq.gz	SRR21492526_R1_filtered.fastq.gz	SRR21492527_R1_filtered.fastq.gz	SRR21492528_R1_filtered.fastq.gz	SRR21492529_R1_filtered.fastq.gz	SRR21492530_R1_filtered.fastq.gz	SRR21492531_R1_filtered.fastq.gz	SRR21492532_R1_filtered.fastq.gz	SRR21492533_R1_filtered.fastq.gz	SRR21492534_R1_filtered.fastq.gz	SRR21492535_R1_filtered.fastq.gz	SRR21492536_R1_filtered.fastq.gz	SRR21492537_R1_filtered.fastq.gz	SRR21492538_R1_filtered.fastq.gz	SRR21492539_R1_filtered.fastq.gz	SRR21492540_R1_filtered.fastq.gz	SRR21492541_R1_filtered.fastq.gz	SRR21492542_R1_filtered.fastq.gz	SRR21492543_R1_filtered.fastq.gz	SRR21492544_R1_filtered.fastq.gz	SRR21492545_R1_filtered.fastq.gz	SRR21492546_R1_filtered.fastq.gz	SRR21492547_R1_filtered.fastq.gz	SRR21492548_R1_filtered.fastq.gz	SRR21492549_R1_filtered.fastq.gz	SRR21492550_R1_filtered.fastq.gz	SRR21492551_R1_filtered.fastq.gz
ASV_73	188	0	103	0	0	0	690	0	259	0	199	0	0	37	233	16	321	97	679	84	312	153	0	86	0	999	32	0	53	91	0	31	183	0	0
ASV_74	257	285	142	0	0	0	156	71	80	67	92	0	118	121	139	246	97	130	121	85	319	80	0	111	237	248	398	113	219	215	232	176	280	0	0
ASV_75	83	327	212	0	0	0	76	261	33	138	248	0	25	56	60	394	74	16	374	39	32	139	0	65	137	77	136	285	539	417	294	78	150	0	0
ASV_76	125	662	125	0	0	0	0	135	0	0	218	0	71	0	94	0	0	0	74	0	181	1573	0	244	237	0	302	0	498	0	0	101	93	0	0
ASV_77	22	9	118	0	0	0	427	40	128	29	103	0	92	42	34	660	418	991	24	270	355	0	0	160	12	89	149	160	166	24	64	36	37	0	0
ASV_78	1097	259	317	0	0	0	108	52	64	251	0	0	0	146	230	283	195	131	117	330	28	214	3	56	131	58	0	0	62	55	56	174	235	0	0
ASV_79	458	263	128	0	0	0	16	13	41	43	32	0	82	786	0	112	0	71	80	66	95	129	0	58	372	35	720	18	0	555	205	84	118	0	0
ASV_80	0	0	60	0	0	0	132	0	0	0	33	0	62	32	0	307	355	65	110	68	0	0	0	2083	0	68	47	516	211	0	353	0	29	0	0
ASV_81	151	499	43	0	0	0	160	36	117	79	0	0	0	0	29	12	100	0	851	143	0	127	0	31	52	244	176	285	399	353	326	39	211	0	0
ASV_82	586	13	0	0	0	0	38	0	0	34	0	0	0	16	1341	145	0	1057	0	0	0	1216	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_83	0	18	78	0	0	0	241	132	283	123	432	0	42	197	238	57	249	0	60	23	235	24	0	148	282	125	118	141	64	489	70	435	138	0	0
ASV_84	36	36	0	0	0	0	0	0	0	266	0	0	50	125	224	0	0	34	422	0	0	0	0	306	80	52	218	0	0	469	1628	237	137	0	0
ASV_85	93	53	11	0	0	0	17	52	0	9	19	0	21	0	6	0	91	0	6	3	31	628	3128	35	0	19	24	0	7	8	8	12	19	0	0
ASV_86	25	7	155	0	0	0	370	5	0	23	52	0	0	20	0	0	1051	546	360	40	0	0	0	257	0	191	0	365	222	25	516	15	0	0	0
